Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive,Training_Time
DenseNet121,0.652673950546291,0.6122589531680441,0.9559139784946236,0.746431570109152,0.7294801759772452,492,1126,82,1778,1587.542527675629
MobileNetV2,0.5922944220816562,0.5859922178988327,0.8096774193548387,0.6799097065462754,0.6488815343514495,554,1064,354,1506,3431.0654141902924
VGG16,0.5756181713628522,0.5597758405977584,0.9666666666666668,0.7089905362776026,0.6857889070537102,204,1414,62,1798,1670.9982709884644
ResNet50,0.5359401955146637,0.5356935577481138,0.99247311827957,0.6958160572936298,0.534843893297181,18,1600,14,1846,1521.632881641388
EfficientNetB0,0.5347901092581944,0.5347901092581944,1.0,0.6968902210565755,0.6301028749152677,0,1618,0,1860,634.7807366847992
